id,bid_amount,bid_amount_btc,bid_price,ask_amount,ask_amount_btc,ask_price,coin,exchange,timestamp
131,36607.39375,0.015375105375000002,4.2e-07,11114.18351305,0.012892452875137999,1.16e-06,XDN,Bittrex,
132,406723.27782462,0.1667565439080942,4.1e-07,185010.14843478,0.21646187366869263,1.17e-06,XDN,Bittrex,
133,126246.8999375,0.050498759974999995,4e-07,40820.41461312,0.0481680892434816,1.18e-06,XDN,Bittrex,
134,5550.69375,0.002109263625,3.8e-07,88708.85222826,0.1055635341516294,1.19e-06,XDN,Bittrex,
135,26959.45945946,0.009975000000000199,3.7e-07,258401.3384023,0.31008160608276,1.2e-06,XDN,Bittrex,
136,85500.0,0.029925,3.5e-07,20000.0,0.024200000000000003,1.21e-06,XDN,Bittrex,
137,31171.875,0.009975,3.2e-07,5673.58196721,0.006921769999996199,1.22e-06,XDN,Bittrex,
138,10618.5483871,0.003291750000001,3.1e-07,592799.37840021,0.7291432354322582,1.23e-06,XDN,Bittrex,
139,714500.0,0.20006000000000002,2.8e-07,350050.25925581,0.4340623214772044,1.24e-06,XDN,Bittrex,
140,637328.35470249,0.17207865576967232,2.7e-07,782519.26574559,0.9781490821819876,1.25e-06,XDN,Bittrex,
141,200000.0,0.052,2.6e-07,106829.5959229,0.134605290862854,1.26e-06,XDN,Bittrex,
142,2996995.0,0.74924875,2.5e-07,423064.96473581,0.5372925052144787,1.27e-06,XDN,Bittrex,
143,132496.36369565,0.0304741636499995,2.3e-07,23058.21715367,0.0295145179566976,1.28e-06,XDN,Bittrex,
144,1347500.0,0.282975,2.1e-07,232943.62687146,0.3004972786641834,1.29e-06,XDN,Bittrex,
145,2519348.54325,0.50386970865,2e-07,285095.96150276,0.370624749953588,1.3e-06,XDN,Bittrex,
146,350000.0,0.063,1.8e-07,1000.0,0.00131,1.31e-06,XDN,Bittrex,
147,797759.33178418,0.1276414930854688,1.6e-07,135165.55469311,0.1784185321949052,1.32e-06,XDN,Bittrex,
148,8000.0,0.00104,1.3e-07,75395.45206575,0.1002759512474475,1.33e-06,XDN,Bittrex,
149,4156.333125,0.000498759975,1.2e-07,32497.40704132,0.0435465254353688,1.34e-06,XDN,Bittrex,
150,1160377.2098679,0.12764149308546902,1.1e-07,64948.34403846,0.08768026445192101,1.35e-06,XDN,Bittrex,
151,199500.0,0.009975,5e-08,160478.51088465,0.21825077480312396,1.36e-06,XDN,Bittrex,
152,4987500.0,0.14962499999999998,3e-08,1291971.89643505,1.7700014981160186,1.37e-06,XDN,Bittrex,
153,24177656.37,0.4835531274,2e-08,322648.757,0.44525528466,1.38e-06,XDN,Bittrex,
154,21000000.0,0.21,1e-08,39848.77335227,0.0553897949596553,1.39e-06,XDN,Bittrex,
155,,,,41794.80177871,0.058512722490194,1.4e-06,XDN,Bittrex,
156,,,,12237.0,0.01725417,1.41e-06,XDN,Bittrex,
157,,,,9109.03614458,0.0129348313253036,1.42e-06,XDN,Bittrex,
158,,,,1141700.92134839,1.6326323175281976,1.43e-06,XDN,Bittrex,
159,,,,192828.48830129,0.2776730231538576,1.44e-06,XDN,Bittrex,
160,,,,61329.39564276,0.08892762368200201,1.45e-06,XDN,Bittrex,
161,,,,57589.06625,0.084080036725,1.46e-06,XDN,Bittrex,
162,,,,2000.0,0.00294,1.47e-06,XDN,Bittrex,
163,,,,1144358.42390449,1.6936504673786452,1.48e-06,XDN,Bittrex,
164,,,,839.2925,0.001250545825,1.49e-06,XDN,Bittrex,
165,,,,109334.06467808,0.16400109701712,1.5e-06,XDN,Bittrex,
166,,,,18030.58552611,0.0272261841444261,1.51e-06,XDN,Bittrex,
167,,,,5781.33333333,0.0087876266666616,1.52e-06,XDN,Bittrex,
168,,,,991009.436178,1.5162444373523398,1.53e-06,XDN,Bittrex,
169,,,,59140.74046776,0.0910767403203504,1.54e-06,XDN,Bittrex,
170,,,,209804.02716723,0.3251962421092065,1.55e-06,XDN,Bittrex,
171,,,,99789.29119971,0.1556712942715476,1.56e-06,XDN,Bittrex,
