coin,exchange,unix_timestamp,open,high,low,close,volumeto,volumefrom,time,UPPER_BOLLINGER_BAND_VALUE,MIDDLE_BOLLINGER_BAND_VALUE,LOWER_BOLLINGER_BAND_VALUE
BTC,Bitfinex,1463596200.0,453.02,457.0,440.0,440.33,17073645.11,38024.6,18-05-2016 18:30,,,
BTC,Bitfinex,1463855400.0,436.23,443.14,435.1,437.39,11529580.36,26235.12,21-05-2016 18:30,,,
BTC,Bitfinex,1464114600.0,437.78,450.51,436.51,448.27,12402898.49,27851.09,24-05-2016 18:30,,,
BTC,Bitfinex,1464373800.0,448.85,543.0,446.01,531.74,68395504.79,140109.54,27-05-2016 18:30,,,
BTC,Bitfinex,1464633000.0,527.0,570.0,512.11,530.3,86169703.31,161325.08000000002,30-05-2016 18:30,,,
BTC,Bitfinex,1464892200.0,531.04,579.94,523.75,569.1,50495144.77,91772.08,02-06-2016 18:30,,,
BTC,Bitfinex,1465151400.0,570.0,593.89,560.1,585.24,54185443.2,93754.88,05-06-2016 18:30,,,
BTC,Bitfinex,1465410600.0,585.95,592.08,561.3,577.31,42238300.77,73124.73999999999,08-06-2016 18:30,,,
BTC,Bitfinex,1465669800.0,576.3,685.0,572.5,668.67,91289570.9,144583.96,11-06-2016 18:30,,,
BTC,Bitfinex,1465929000.0,666.39,719.0,656.51,694.49,146654043.68,213527.57,14-06-2016 18:30,,,
BTC,Bitfinex,1466188200.0,713.99,789.78,702.01,758.11,206521925.7,277044.34,17-06-2016 18:30,,,
BTC,Bitfinex,1466447400.0,755.86,775.0,635.37,676.33,118750778.54,168832.76,20-06-2016 18:30,,,
BTC,Bitfinex,1466706600.0,673.2,688.32,555.56,660.58,190539188.18,304337.55,23-06-2016 18:30,,,
BTC,Bitfinex,1466965800.0,665.63,698.0,614.33,648.5,91549321.31,140684.3,26-06-2016 18:30,,,
BTC,Bitfinex,1467225000.0,660.98,677.0,621.58,673.9,66765123.27,102850.79,29-06-2016 18:30,,,
BTC,Bitfinex,1467484200.0,669.5,706.0,644.1,664.58,75671935.5,111518.82,02-07-2016 18:30,,,
BTC,Bitfinex,1467743400.0,659.93,682.9,644.46,676.05,36351781.55,54198.18,05-07-2016 18:30,,,
BTC,Bitfinex,1468002600.0,677.01,682.0,610.1,650.95,97431906.81,151885.35,08-07-2016 18:30,,,
BTC,Bitfinex,1468261800.0,647.02,679.9,636.09,675.5,34663200.23,52655.53999999999,11-07-2016 18:30,,,
BTC,Bitfinex,1468521000.0,667.31,669.95,649.89,666.07,28209198.26,42646.29,14-07-2016 18:30,,,
BTC,Bitfinex,1468780200.0,667.49,689.96,659.12,674.19,28842162.51,42692.78,17-07-2016 18:30,,,
BTC,Bitfinex,1469039400.0,673.19,676.51,654.97,664.99,22427355.87,33603.61,20-07-2016 18:30,,,
BTC,Bitfinex,1469298600.0,663.65,668.0,639.41,661.58,33279037.57,50835.52,23-07-2016 18:30,,,
BTC,Bitfinex,1469557800.0,663.6,663.7,640.56,655.5,25749202.72,39462.2,26-07-2016 18:30,,,
BTC,Bitfinex,1469817000.0,656.93,660.49,647.79,654.93,17022127.3,25937.13,29-07-2016 18:30,,,
BTC,Bitfinex,1470076200.0,653.9,655.17,595.0,604.1,57749500.11,93377.97,01-08-2016 18:30,,,
BTC,Bitfinex,1470335400.0,604.1,604.1,604.1,604.1,0.0,0.0,04-08-2016 18:30,,,
BTC,Bitfinex,1470594600.0,604.1,604.1,604.1,604.1,0.0,0.0,07-08-2016 18:30,,,
BTC,Bitfinex,1470853800.0,604.1,609.29,584.59,591.37,14709427.11,24766.97,10-08-2016 18:30,730.5550351093509,657.9960000000001,585.4369648906493
BTC,Bitfinex,1471113000.0,591.91,593.0,564.0,568.8,11440408.94,19657.69,13-08-2016 18:30,731.9091102574137,651.7115000000001,571.5138897425866
BTC,Bitfinex,1471372200.0,569.95,579.0,562.99,571.2,10506032.69,18389.21,16-08-2016 18:30,713.8823993500793,642.3660000000001,570.849600649921
BTC,Bitfinex,1471631400.0,571.81,582.75,569.71,582.67,6860293.209999999,11923.96,19-08-2016 18:30,711.904864999473,637.683,563.461135000527
BTC,Bitfinex,1471890600.0,580.91,590.69,580.0,584.34,6831695.18,11680.36,22-08-2016 18:30,710.7800402748597,633.871,556.9619597251402
BTC,Bitfinex,1472149800.0,583.47,586.91,574.01,578.01,5944779.619999999,10258.8,25-08-2016 18:30,710.6372268057776,630.3465,550.0557731942224
BTC,Bitfinex,1472409000.0,578.07,578.99,567.23,574.8,3604161.22,6286.38,28-08-2016 18:30,706.5462532249344,625.3915,544.2367467750655
BTC,Bitfinex,1472668200.0,574.77,580.28,571.43,572.1,5806004.72,10085.14,31-08-2016 18:30,702.995339294244,620.7675,538.5396607057561
BTC,Bitfinex,1472927400.0,571.76,618.65,570.61,615.19,11090181.25,18659.7,03-09-2016 18:30,695.9508951553439,617.7245,539.4981048446562
BTC,Bitfinex,1473186600.0,611.73,620.0,603.84,618.7,8089769.689999999,13189.97,06-09-2016 18:30,692.8477271679888,616.1120000000001,539.3762728320114
BTC,Bitfinex,1473445800.0,619.19,636.16,617.12,628.5,9964026.43,15885.580000000002,09-09-2016 18:30,685.8146711787981,613.7620000000001,541.709328821202
BTC,Bitfinex,1473705000.0,626.37,640.0,595.36,613.91,13089296.27,21307.49,12-09-2016 18:30,679.1036856210536,611.1540000000001,543.2043143789466
BTC,Bitfinex,1473964200.0,614.27,617.93,609.54,610.02,8551304.48,13935.43,15-09-2016 18:30,669.4396592267103,607.9455,546.4513407732898
BTC,Bitfinex,1474223400.0,610.01,616.34,604.96,609.76,5659196.72,9276.82,18-09-2016 18:30,660.8694700617674,605.184,549.4985299382325
BTC,Bitfinex,1474482600.0,610.0,612.01,595.01,596.77,6483235.62,10795.08,21-09-2016 18:30,651.3087259287852,601.9435000000001,552.578274071215
BTC,Bitfinex,1474741800.0,595.95,606.0,595.95,600.34,2548618.08,4241.48,24-09-2016 18:30,642.0031806821669,599.1855,556.3678193178332
BTC,Bitfinex,1475001000.0,600.34,610.1,599.86,603.9,4982367.39,8223.890000000001,27-09-2016 18:30,631.1342697960465,596.634,562.1337302039535
BTC,Bitfinex,1475260200.0,604.08,616.87,603.04,614.08,4366720.32,7180.9000000000015,30-09-2016 18:30,632.3323886878736,597.133,561.9336113121265
BTC,Bitfinex,1475519400.0,614.08,618.0,575.0,610.66,7412015.57,12203.47,03-10-2016 18:30,633.0342308906571,597.461,561.8877691093429
BTC,Bitfinex,1475778600.0,611.0,621.71,610.0,618.82,6811912.770000001,11062.86,06-10-2016 18:30,634.880975847773,598.1969999999999,561.5130241522268
BTC,Bitfinex,1476037800.0,620.28,622.87,614.01,618.81,5196196.75,8399.35,09-10-2016 18:30,637.1700919522292,599.569,561.9679080477707
BTC,Bitfinex,1476297000.0,619.24,646.86,618.06,637.46,13094256.830000002,20550.21,12-10-2016 18:30,641.2707792332079,603.0020000000001,564.7332207667922
BTC,Bitfinex,1476556200.0,637.46,645.8,636.72,644.12,7079407.6499999985,11026.14,15-10-2016 18:30,645.9823456027935,606.648,567.3136543972065
BTC,Bitfinex,1476815400.0,644.5,644.5,627.84,631.32,12686658.7,19905.980000000003,18-10-2016 18:30,648.1992313061148,609.0805000000001,569.9617686938855
BTC,Bitfinex,1477074600.0,630.88,672.2,628.0,662.86,13124255.87,20327.12,21-10-2016 18:30,656.8773296137653,613.0065000000002,569.1356703862351
BTC,Bitfinex,1477333800.0,670.7,670.88,652.6,656.14,10544668.03,15995.69,24-10-2016 18:30,661.5308830067049,616.9130000000001,572.2951169932953
BTC,Bitfinex,1477593000.0,659.32,695.34,659.32,692.76,23355452.38,34239.35,27-10-2016 18:30,674.2644974127123,622.8109999999999,571.3575025872875
