coin,exchange,unix_timestamp,open,high,low,close,volumeto,volumefrom,time,UPPER_BOLLINGER_BAND_VALUE,MIDDLE_BOLLINGER_BAND_VALUE,LOWER_BOLLINGER_BAND_VALUE
BTC,Bitfinex,1530145800.0,6141.6,6147.7,6072.7,6104.3,14468207.69,2367.65,28-06-2018 00:30,6308.164041838321,6121.505,5934.845958161679
BTC,Bitfinex,1530167400.0,6104.3,6132.85,6080.7,6106.69,11012832.22,1802.8,28-06-2018 06:30,6307.775101784746,6121.014500000001,5934.253898215256
BTC,Bitfinex,1530189000.0,6106.69,6130.6,6064.4,6100.9,16339230.06,2678.06,28-06-2018 12:30,6307.026307372325,6120.0595,5933.092692627675
BTC,Bitfinex,1530210600.0,6100.9,6113.8,5822.3,5885.5,68993522.67999999,11586.009999999998,28-06-2018 18:30,6321.569036924704,6108.449500000001,5895.329963075297
BTC,Bitfinex,1530232200.0,5885.5,5960.0,5780.0,5887.8,46675332.09,7960.73,29-06-2018 00:30,6318.402490933578,6109.389499999999,5900.376509066421
BTC,Bitfinex,1530253800.0,5887.8,5927.4,5841.6,5865.4,28171404.36,4783.22,29-06-2018 06:30,6324.019943378636,6107.6595,5891.299056621364
BTC,Bitfinex,1530275400.0,5865.4,5916.9,5800.0,5890.1,45023498.28,7663.83,29-06-2018 12:30,6326.813730224665,6093.3395,5859.865269775335
BTC,Bitfinex,1530297000.0,5890.1,6302.0,5870.0,6239.1,68146407.98,11109.51,29-06-2018 18:30,6337.839592558925,6097.3495,5856.859407441076
BTC,Bitfinex,1530318600.0,6239.1,6545.5,6239.0,6390.0,73038359.07,11397.98,30-06-2018 00:30,6379.851145615641,6108.6345,5837.417854384359
BTC,Bitfinex,1530340200.0,6390.0,6449.2,6380.0,6396.0,20912600.74,3267.38,30-06-2018 06:30,6421.828291384283,6123.104500000001,5824.380708615719
BTC,Bitfinex,1530361800.0,6396.0,6406.5,6313.8,6321.8,27818061.1,4375.17,30-06-2018 12:30,6431.191654282418,6126.004500000001,5820.8173457175835
BTC,Bitfinex,1530383400.0,6321.8,6439.9,6316.2,6370.9,21353598.37,3350.05,30-06-2018 18:30,6456.907134604851,6134.6945,5812.481865395148
BTC,Bitfinex,1530405000.0,6370.9,6400.0,6322.9,6358.2,9421488.12,1481.45,01-07-2018 00:30,6474.231941393422,6140.5045,5806.777058606578
