coin,exchange,unix_timestamp,time,open,high,low,close,volumefrom,volumeto,UPPER_BOLLINGER_BAND_VALUE,MIDDLE_BOLLINGER_BAND_VALUE,LOWER_BOLLINGER_BAND_VALUE
BTC,Bitfinex,1529481600,20-06-2018 08:00,6627.1,6640.1,6614.9,6635.0,400.55,2654635.01,6790.756025522317,6678.325,6565.893974477684
BTC,Bitfinex,1529485200,20-06-2018 09:00,6635.0,6665.0,6621.5,6640.0,482.55,3205276.01,6780.1147853357215,6672.505,6564.895214664279
BTC,Bitfinex,1529488800,20-06-2018 10:00,6640.0,6640.1,6609.7,6624.3,246.87,1635370.53,6771.254033567819,6666.63,6562.005966432182
BTC,Bitfinex,1529492400,20-06-2018 11:00,6624.3,6637.3,6611.0,6633.2,170.36,1128320.7,6761.5344903142,6661.375,6561.2155096858005
BTC,Bitfinex,1529496000,20-06-2018 12:00,6633.2,6633.3,6610.1,6618.4,334.14,2212179.28,6756.0772239323705,6656.815,6557.55277606763
BTC,Bitfinex,1529499600,20-06-2018 13:00,6618.4,6765.23,6592.0,6730.0,3325.58,22287127.35,6758.550795974303,6657.495,6556.439204025697
BTC,Bitfinex,1529503200,20-06-2018 14:00,6730.0,6780.0,6727.97,6757.0,1786.34,12067269.18,6767.778872288679,6659.895,6552.011127711321
BTC,Bitfinex,1529506800,20-06-2018 15:00,6757.0,6770.0,6744.9,6752.7,526.63,3557235.32,6770.789184288726,6660.625,6550.460815711274
BTC,Bitfinex,1529510400,20-06-2018 16:00,6752.7,6825.0,6751.0,6751.0,1925.58,13057555.21,6779.0896993353,6663.1799999999985,6547.270300664697
BTC,Bitfinex,1529514000,20-06-2018 17:00,6751.0,6762.0,6742.8,6750.0,252.25,1703082.12,6784.631470775612,6664.829999999999,6545.028529224386
BTC,Bitfinex,1529517600,20-06-2018 18:00,6750.0,6773.6,6747.5,6752.6,586.39,3963844.75,6789.486253696197,6666.2599999999975,6543.0337463038
BTC,Bitfinex,1529521200,20-06-2018 19:00,6752.6,6764.9,6745.9,6750.6,132.02,891679.29,6792.099935543813,6667.015000000001,6541.930064456186
BTC,Bitfinex,1529524800,20-06-2018 20:00,6750.6,6755.4,6724.6,6752.0,303.94,2049561.31,6801.577435017325,6671.110000000002,6540.642564982674
BTC,Bitfinex,1529528400,20-06-2018 21:00,6752.0,6752.0,6706.5,6718.9,966.16,6497863.38,6805.8944004145105,6676.055,6546.215599585488
BTC,Bitfinex,1529532000,20-06-2018 22:00,6718.9,6740.7,6701.0,6732.9,367.45,2468119.0,6810.186028129304,6682.49,6554.793971870696
BTC,Bitfinex,1529535600,20-06-2018 23:00,6732.9,6767.9,6732.9,6760.4,368.73,2490170.55,6817.2879299194565,6690.12,6562.952070080542
BTC,Bitfinex,1529539200,21-06-2018 00:00,6760.4,6780.0,6737.9,6754.3,481.33,3251561.0,6820.492795490366,6697.994999999997,6575.49720450963
BTC,Bitfinex,1529542800,21-06-2018 01:00,6754.3,6757.5,6744.5,6756.0,167.8,1132879.31,6820.712879403683,6706.2649999999985,6591.817120596316
BTC,Bitfinex,1529546400,21-06-2018 02:00,6756.0,6788.8,6755.9,6775.6,559.64,3789496.14,6826.061139955098,6713.6,6601.138860044904
BTC,Bitfinex,1529550000,21-06-2018 03:00,6775.6,6781.7,6755.2,6764.2,205.2,1388295.49,6827.577200780231,6720.455,6613.332799219769
BTC,Bitfinex,1529553600,21-06-2018 04:00,6764.2,6767.7,6752.5,6761.5,83.85,566785.65,6827.733308019103,6726.779999999999,6625.826691980895
BTC,Bitfinex,1529557200,21-06-2018 05:00,6761.5,6761.6,6751.0,6751.0,120.72,815510.92,6825.493986604268,6732.33,6639.166013395732
BTC,Bitfinex,1529560800,21-06-2018 06:00,6751.0,6767.8,6737.0,6767.8,704.04,4747148.3,6819.449567670356,6739.505,6659.560432329645
BTC,Bitfinex,1529564400,21-06-2018 07:00,6767.8,6770.2,6751.7,6757.8,245.97,1662843.88,6809.317018684533,6745.735000000002,6682.1529813154675
BTC,Bitfinex,1529568000,21-06-2018 08:00,6757.8,6757.9,6723.0,6726.9,1137.77,7662017.16,6778.601967859468,6751.160000000003,6723.718032140533
BTC,Bitfinex,1529571600,2018-06-21 09:00:00,6726.9,6745.9,6679.3,6736.0,1109.82,7450538.6,6778.089262100179,6751.460000000001,6724.8307378998215
BTC,Bitfinex,1529575200,2018-06-21 10:00:00,6736.0,6783.11,6730.0,6744.1,602.11,4067573.56,6777.501121861372,6750.815,6724.128878138626
BTC,Bitfinex,1529578800,2018-06-21 11:00:00,6744.1,6744.6,6720.7,6730.4,361.37,2432311.76,6777.803736406393,6749.7,6721.5962635936085
BTC,Bitfinex,1529582400,2018-06-21 12:00:00,6730.4,6742.4,6716.0,6716.0,410.57,2763389.66,6779.6417970459215,6747.95,6716.258202954076
BTC,Bitfinex,1529586000,2018-06-21 13:00:00,6716.0,6733.0,6687.8,6726.9,734.84,4935884.61,6779.761860633066,6746.795,6713.828139366934
BTC,Bitfinex,1529589600,2018-06-21 14:00:00,6726.9,6729.2,6687.2,6726.3,935.67,6279516.36,6779.4971486165405,6745.479999999999,6711.462851383455
BTC,Bitfinex,1529593200,2018-06-21 15:00:00,6726.3,6750.0,6711.53,6716.1,350.03,2355094.71,6779.985621026972,6743.755,6707.524378973028
BTC,Bitfinex,1529596800,2018-06-21 16:00:00,6716.1,6730.2,6704.5,6724.6,272.19,1828111.66,6779.330055149506,6742.385,6705.4399448504955
BTC,Bitfinex,1529600400,2018-06-21 17:00:00,6724.6,6733.9,6693.2,6711.0,513.18,3442896.97,6780.0820936678465,6741.9900000000025,6703.897906332155
BTC,Bitfinex,1529604000,2018-06-21 18:00:00,6711.0,6724.5,6695.5,6698.8,268.85,1803588.22,6782.663403698111,6740.285000000003,6697.906596301888
